price,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,minimum_nights,number_of_reviews,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,cancellation_policy
$350.00,38.8804128178772,-76.99048486656278,House,Entire home/apt,6,3.0,3.0,3.0,2,65,94.0,9.0,10.0,10.0,9.0,strict
$38.00,38.88010495915033,-76.91903054173277,House,Private room,2,1.5,1.0,1.0,2,1,100.0,10.0,10.0,10.0,10.0,moderate
$97.00,38.980066714279424,-77.01553789567821,House,Entire home/apt,4,1.5,2.0,2.0,4,5,88.0,9.0,10.0,10.0,9.0,moderate
$55.00,38.99593774850085,-77.03614116908322,Apartment,Entire home/apt,1,1.0,1.0,1.0,3,1,100.0,6.0,10.0,10.0,10.0,strict
$52.00,38.9407088482042,-76.96570499365978,House,Private room,2,1.0,1.0,1.0,1,1,80.0,8.0,10.0,10.0,10.0,flexible
$23.00,38.961838478629886,-76.99393298218185,other,Private room,1,1.0,1.0,1.0,1,1,100.0,10.0,10.0,10.0,10.0,flexible
$149.00,38.92876060057413,-77.04808778036295,Apartment,Entire home/apt,1,1.0,1.0,1.0,3,46,100.0,10.0,10.0,10.0,10.0,strict
$150.00,38.90901841899183,-77.0331777430025,Apartment,Entire home/apt,4,1.0,1.0,2.0,2,84,99.0,10.0,10.0,10.0,10.0,moderate
$175.00,38.90683106627096,-77.0298755829177,Apartment,Entire home/apt,4,1.5,1.0,1.0,1,25,91.0,8.0,9.0,9.0,10.0,flexible
$239.00,38.912855131293284,-77.02218392962384,House,Entire home/apt,3,1.0,2.0,2.0,5,4,100.0,10.0,10.0,10.0,9.0,strict
$65.00,38.9060253264906,-77.02140580725231,Apartment,Private room,4,1.0,1.0,2.0,2,2,100.0,10.0,10.0,10.0,10.0,flexible
$71.00,38.908365442193016,-77.0228204269382,Apartment,Private room,2,1.0,1.0,1.0,2,83,97.0,9.0,10.0,10.0,9.0,moderate
$80.00,38.9082324155797,-77.02509193940847,Apartment,Entire home/apt,2,1.0,1.0,1.0,1,19,89.0,9.0,9.0,9.0,9.0,moderate
$250.00,38.910460914011566,-77.01933067654679,House,Private room,4,2.5,1.0,3.0,1,94,95.0,9.0,10.0,10.0,8.0,strict
$138.00,38.9123511972699,-77.01873259775239,House,Private room,2,1.0,1.0,1.0,1,47,92.0,8.0,10.0,10.0,8.0,moderate
$94.00,38.910427750000245,-77.02061906603802,House,Private room,2,1.0,1.0,1.0,2,150,98.0,10.0,10.0,10.0,9.0,moderate
$283.00,38.90797862892696,-77.01899722767571,other,Entire home/apt,5,2.5,2.0,2.0,3,15,100.0,10.0,10.0,10.0,10.0,moderate
$79.00,38.908512075782255,-77.02558253160261,other,Private room,6,1.0,1.0,3.0,1,69,91.0,10.0,10.0,10.0,9.0,strict
$110.00,38.91358762298939,-77.02563637553855,Apartment,Entire home/apt,3,1.0,1.0,1.0,1,1,100.0,10.0,10.0,10.0,10.0,flexible
$480.00,38.912850950948034,-77.03385691281319,House,Entire home/apt,9,2.5,3.0,5.0,3,5,95.0,10.0,10.0,10.0,10.0,strict
$372.00,38.9095093867612,-77.03267770094088,Apartment,Entire home/apt,6,2.0,2.0,3.0,3,33,96.0,9.0,10.0,10.0,10.0,moderate
$125.00,38.91035118673428,-77.02361654527581,Apartment,Entire home/apt,3,1.0,1.0,2.0,1,11,93.0,9.0,9.0,10.0,9.0,flexible
$89.00,38.90760295024043,-77.02877664056433,Apartment,Private room,2,1.0,1.0,1.0,1,3,93.0,9.0,10.0,10.0,10.0,moderate
$80.00,38.90990321023629,-77.02164964492246,Apartment,Shared room,1,1.0,1.0,1.0,1,5,96.0,9.0,9.0,10.0,10.0,moderate
$90.00,38.90633377312985,-77.02626349357753,Apartment,Entire home/apt,5,1.0,0.0,3.0,3,29,91.0,9.0,9.0,9.0,9.0,strict
$110.00,38.907121885479455,-77.01903729507609,Apartment,Entire home/apt,3,1.0,0.0,2.0,2,32,84.0,8.0,8.0,8.0,9.0,flexible
$100.00,38.91206898653665,-77.02654476734179,Apartment,Entire home/apt,3,1.0,2.0,3.0,3,1,100.0,10.0,10.0,10.0,10.0,strict
$250.00,38.90988181720586,-77.03371969019534,Apartment,Entire home/apt,4,2.0,2.0,2.0,1,15,97.0,9.0,10.0,10.0,10.0,strict
$55.00,38.84724289392867,-76.99915558858592,House,Private room,3,1.0,1.0,2.0,1,5,84.0,8.0,10.0,9.0,6.0,strict
$160.00,38.827222736498925,-77.00919578237612,House,Entire home/apt,4,2.0,2.0,2.0,2,5,96.0,9.0,10.0,10.0,8.0,moderate
